,0,1,2,3,4
0,آ,ɒː,آ,A,A
1,آب,ɑː b,آب,Water,A b
2,آب,ɒː b,آب,Water,A b
3,آب,ɔː b,آب,Water,A b
4,آبان,ɒː b ɒː n,آبان,Aban,A b A n
5,آبشار,ɑː b ʃ ɑː ɾ,آبشار,Waterfall,A b S A r
6,آبشار,ɒː b ʃ ɒː ɾ,آبشار,Waterfall,A b S A r
7,آبشار,ɔː b ʃ ɔː ɾ,آبشار,Waterfall,A b S A r
8,آبلیمو,ɒː b l iː m uː,آبلیمو,Lemon juice,A b l i m A
9,آبنوس,ɒː b n uː s,آبنوس,Ebony,A b n A s
10,آبگینه,ʔ ɒː b ɡ iː n e,آبگینه,Articles,A b ɡ i n e
11,آبگینه,ʔ ɒː b ɡ iː n æ,آبگینه,Articles,A b ɡ i n a
12,آتش,ɑː tʰ a ʃ,آتش,Fire,A t a S
13,آتش,ɒː tʰ a ʃ,آتش,Fire,A t a S
14,آتش,ɒː tʰ æ ʃ,آتش,Fire,A t a S
15,آتش,ɔː tʰ a ʃ,آتش,Fire,A t a S
16,آخ,ɒː χ,آخ,Ouch,A χ
17,آخر,ɒː x æ ɾ,آخر,End,A x a r
18,آخور,ʔ ɒː x o ɾ,آخور,Feeding,A x o r
19,آخور,ʔ ɒː xʷ æ ɾ,آخور,Feeding,A x a r
20,آدم,ɒː d æ m,آدم,human,A d a m
21,آدم‌ها,ɒː d æ m h ɒː,آدمها,People,A d a m h A
22,آدینه,ɑː d iː n a,آدینه,Friday,A d i n a
23,آدینه,ɒː d iː n a,آدینه,Friday,A d i n a
24,آدینه,ɒː d iː n e,آدینه,Friday,A d i n e
25,آدینه,ɔː d i n a,آدینه,Friday,A d i n a
26,آذر,ɒː z æ ɾ,آذر,Fire,A z a r
27,آذرخش,ɒː z æ ɾ æ x ʃ,آذرخش,Lightning,A z a r a x S
28,آذرخش,ɒː ð æ ɾ æ x ʃ,آذرخش,Lightning,A ð a r a x S
29,آذرخش,ɒː ð ɾ æ x ʃ,آذرخش,Lightning,A ð r a x S
30,آرامی,ɒː ɾ ɒː m iː,آرامی,Slowly,A r A m i
31,آرایش,ɑː ɾ ɑː j i ʃ,آرایش,Makeup,A r A y i S
32,آرایش,ɒː ɾ ɒː j e ʃ,آرایش,Makeup,A r A y e S
33,آرایش,ɒː ɾ ɒː j ɪ ʃ,آرایش,Makeup,A r A y i S
34,آرایش,ɔː ɾ ɔː j i ʃ,آرایش,Makeup,A r A y i S
35,آرزو,ʔ ɒː ɾ e z uː,آرزو,Wish,A r e z A
36,آرژانتین,ɒː ɾ ʒ ɒː n t iː n,آرژانتین,Argentina,A r ʒ A n t i n
37,آری,ɑː ɾ eː,آری,Yes.,A r eː
38,آری,ɒː ɾ eː,آری,Yes.,A r eː
39,آری,ɒː ɾ iː,آری,Yes.,A r i
40,آری,ɔː ɾ e,آری,Yes.,A r e
41,آزردن,ɒː z o ɾ d æ n,آزردن,Offending,A z o r d a n
42,آزمایش,ɑː z m ɑː j i ʃ,آزمایش,the experiment,A z m A y i S
43,آزمایش,ɒː z m ɒː j e ʃ,آزمایش,the experiment,A z m A y e S
44,آزمایش,ɒː z m ɒː j ɪ ʃ,آزمایش,the experiment,A z m A y i S
45,آزمایش,ɔː z m ɔː j i ʃ,آزمایش,the experiment,A z m A y i S
46,آزموده,ɑː z m uː d a,آزموده,Tested,A z m A d a
47,آزموده,ɒː z m uː d a,آزموده,Tested,A z m A d a
48,آزموده,ɒː z m uː d e,آزموده,Tested,A z m A d e
49,آزموده,ɔː z m u d a,آزموده,Tested,A z m u d a
50,آسان,ɑː s ɑː n,آسان,Easy,A s A n
51,آسان,ɒː s uː n,آسان,Easy,A s A n
52,آسان,ɒː s ɒː n,آسان,Easy,A s A n
53,آسان,ɔː s ɔː n,آسان,Easy,A s A n
54,آستانه,ʔ ɒː s t ɒː n e,آستانه,threshold,A s t A n e
55,آستانه,ʔ ɒː s t ɒː n æ,آستانه,threshold,A s t A n a
56,آسمان,ɒː s e m ɒː n,آسمان,the sky,A s e m A n
57,آسمان,ɒː s m ɒː n,آسمان,the sky,A s m A n
58,آسیا,ɒː s ɪ j ɒː,آسیا,Asia,A s i y A
59,آسیاب,ɒː s i j ɒː b,آسیاب,Mill,A s i y A b
60,آش,ʔ ɒː ʃ,آش,Broth,A S
61,آشتی,ɒː ʃ t iː,آشتی,Reconciliation,A S t i
62,آشوب,ɒː ʃ uː b,آشوب,chaos,A S A b
63,آشوب‌ها,ɒː ʃ uː b h ɒː,آشوبها,Riots,A S A b h A
64,آغا,ɑː ɣ ɑː,آغا,Sir,A q A
65,آغا,ɒː ɣ ɒː,آغا,Sir,A q A
